Label,P6:string,P5:string,P7:url,P2:wikibase-item,P3:wikibase-item,Description
Buddy DeFranco,Buddy_DeFranco,http://dbpedia.org/resource/Buddy_DeFranco,https://linkedjazz.org/image/square/Buddy_DeFranco.png,Q3,Q6,
Jay Johnson,Jay_Johnson,http://dbpedia.org/resource/Jay_Johnson_(singer),https://linkedjazz.org/image/square/Jay_Johnson_(singer).png,Q3,Q6,
Freddie Green,Freddie_Green,http://dbpedia.org/resource/Freddie_Green,https://linkedjazz.org/image/square/Freddie_Green.png,Q3,Q6,
George Handy,George_Handy,http://dbpedia.org/resource/George_Handy,https://linkedjazz.org/image/square/George_Handy.png,Q3,Q6,
Gene Krupa,Gene_Krupa,http://dbpedia.org/resource/Gene_Krupa,https://linkedjazz.org/image/square/Gene_Krupa.png,Q3,Q6,
Carl Jefferson,Carl_Jefferson,http://dbpedia.org/resource/Carl_Jefferson,https://linkedjazz.org/image/square/Carl_Jefferson.png,Q3,Q6,
Boyd Raeburn,Boyd_Raeburn,http://dbpedia.org/resource/Boyd_Raeburn,https://linkedjazz.org/image/square/Boyd_Raeburn.png,Q3,Q6,
Jimmy Lewis,Jimmy_Lewis,http://dbpedia.org/resource/Jimmy_Lewis_(musician),https://linkedjazz.org/image/square/Jimmy_Lewis_(musician).png,Q3,Q6,
Dodo Marmarosa,Dodo_Marmarosa,http://dbpedia.org/resource/Dodo_Marmarosa,https://linkedjazz.org/image/square/Dodo_Marmarosa.png,Q3,Q6,
Glenn Miller,Glenn_Miller,http://dbpedia.org/resource/Glenn_Miller,https://linkedjazz.org/image/square/Glenn_Miller.png,Q3,Q6,
Jimmy Rushing,Jimmy_Rushing,http://dbpedia.org/resource/Jimmy_Rushing,https://linkedjazz.org/image/square/Jimmy_Rushing.png,Q3,Q6,
Chick Corea,Chick_Corea,http://dbpedia.org/resource/Chick_Corea,https://linkedjazz.org/image/square/Chick_Corea.png,Q3,Q6,
Johnnie Davis,Johnnie_Davis,http://dbpedia.org/resource/Johnnie_Davis,https://linkedjazz.org/image/square/Johnnie_Davis.png,Q3,Q6,
Lenny Lewis,Lenny_Lewis,,https://linkedjazz.org/image/square/Lenny_Lewis.png,Q3,Q6,
Zoot Sims,Zoot_Sims,http://dbpedia.org/resource/Zoot_Sims,https://linkedjazz.org/image/square/Zoot_Sims.png,Q3,Q6,
Wardell Gray,Wardell_Gray,http://dbpedia.org/resource/Wardell_Gray,https://linkedjazz.org/image/square/Wardell_Gray.png,Q3,Q6,
Charlie Barnet,Charlie_Barnet,http://dbpedia.org/resource/Charlie_Barnet,https://linkedjazz.org/image/square/Charlie_Barnet.png,Q3,Q6,
Johnny Mince,Johnny_Mince,http://dbpedia.org/resource/Johnny_Mince,https://linkedjazz.org/image/square/Johnny_Mince.png,Q3,Q6,
